,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,加拿大,哈柏太空之旅 3D,2019-02-04T00:00:00,國際電影事業有限公司,IMAX Corporation,1,7,6,1050,695,102860,20_1228-0103,122637145
1,加拿大,深海獵奇 3D,2019-02-03T00:00:00,國際電影事業有限公司,IMAX Corporation,1,5,1,500,1306,162859,20_1228-0103,122637145
2,中華民國,刻在你心底的名字,2020-09-30T00:00:00,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,10,400,-0.807877041,100261,412328,96900786,20_1228-0103,122637145
3,阿根廷,計高一籌,2019-10-09T00:00:00,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,1,12,-0.720930233,1800,3115,633680,20_1228-0103,122637145
4,中華民國,親愛的房客,2020-10-23T00:00:00,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,21,1187,-0.494893617,271399,160865,38193574,20_1228-0103,122637145
5,中華民國,急先鋒,2020-09-30T00:00:00,龍祥育樂多媒體股份有限公司,無錫市晶麗影院管理有限公司##深圳市浩志文化傳媒有限公司##霍爾果斯創維酷開文化傳媒有限公司##霍爾果斯禮想境界影視傳媒有限公司##中影(上海)影視文化投資管理中心(有限合夥)##文投控股股份有限公司##幸福藍海影視文化集團股份有限公司##北京明星時代影院投資有限公司##珠江電影集團有限公司##人民日報數字傳播有限公司##鼎盛創新資本有限公司##深圳廣電影視股份有限公司##騰訊影業文化傳播有限公司##中國電影股份有限公司##中影(上海)國際文化傳媒有限公司##上海禮想境界影視傳媒有限公司##上海影新影視有限公司##九江市逸興投資有限公司,1,20,-0.78021978,2110,21959,4846741,20_1228-0103,122637145
6,美國,瑰麗卡萊爾：浮華紐約,2020-12-24T00:00:00,車庫娛樂股份有限公司,WTFILMS,3,9,-0.653846154,1975,35,7770,20_1228-0103,122637145
7,中華民國,可不可以，你也剛好喜歡我 ,2020-08-21T00:00:00,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,5,437,-0.089583333,35360,324524,75264685,20_1228-0103,122637145
8,英國,皮諾丘的奇幻旅程,2020-09-18T00:00:00,海鵬影業有限公司,HANWAY FILMS LIMTED,3,73,-0.658878505,4780,7736,1631393,20_1228-0103,122637145
9,不丹,不丹是教室,2020-07-10T00:00:00,海鵬影業有限公司,HX Investment (HK) Limited,2,93,-0.759067358,6890,36000,7529251,20_1228-0103,122637145
10,日本,看不見的目擊者,2020-10-16T00:00:00,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",1,34,0.888888889,5260,16028,3631614,20_1228-0103,122637145
11,中華民國,消失的情人節,2020-09-18T00:00:00,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,8,376,-0.41885626,85355,137015,31904395,20_1228-0103,122637145
12,日本,角落小夥伴電影版：魔法繪本裡的新朋友(日語版),2020-07-03T00:00:00,威視股份有限公司,"ASMIK ACE, INC.",5,694,1,46925,344057,80228661,20_1228-0103,122637145
13,日本,藍色恐懼：數位修復版,2020-07-17T00:00:00,光年映畫有限公司,MADHOUSE Inc. ,1,290,1,70905,38125,9035306,20_1228-0103,122637145
14,香港,麥路人,2020-09-17T00:00:00,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1,13,-0.628571429,1820,17994,3821716,20_1228-0103,122637145
15,英國,生為女人,2020-12-24T00:00:00,聯影企業股份有限公司,WESTEND FILMS LTD,9,321,-0.113259669,62495,683,136801,20_1228-0103,122637145
16,中華民國,怪胎,2020-08-05T00:00:00,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,3,112,-0.601423488,9290,195349,45122061,20_1228-0103,122637145
17,中華民國,剪刀手愛德華,1991-04-25T00:00:00,聯影企業股份有限公司,PARK CIRCUS LIMITED,1,3,-0.5,620,1540,337920,20_1228-0103,122637145
18,澳洲,聖雅各的天空,2020-08-21T00:00:00,海鵬影業有限公司,Parkland Pictures Limited,2,178,0.575221239,9180,9354,2005189,20_1228-0103,122637145
19,美國,祕密：夢想的力量,2020-11-13T00:00:00,車庫娛樂股份有限公司,"CM SALES, LLC",1,31,-0.850961538,6820,7281,1675122,20_1228-0103,122637145
20,中華民國,孤味 (長片版),2020-11-06T00:00:00,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,96,16547,-0.347309877,3837622,794561,183687644,20_1228-0103,122637145
21,法國,高盧英雄歷險記：魔法藥水,2020-08-21T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,1910,1,545540,12616,2990799,20_1228-0103,122637145
22,日本,太陽之家,2020-09-25T00:00:00,天馬行空數位有限公司,"Nagoya broadcasting Network Co., Ltd.",1,10,-0.722222222,1400,866,173343,20_1228-0103,122637145
23,美國,TENET天能,2020-08-27T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,1514,0.462801932,112460,1385099,349560559,20_1228-0103,122637145
24,日本,東京教父:4K數位修復版,2020-08-19T00:00:00,光年映畫有限公司,"TOHOKUSHINSHA FILM CORPORATION		",5,41,-0.930272109,9580,16550,3906354,20_1228-0103,122637145
25,中華民國,腿,2020-12-24T00:00:00,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,62,11839,-0.217049137,2752602,26098,6041904,20_1228-0103,122637145
26,中華民國,馗降：粽邪2,2020-09-02T00:00:00,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,2,61,-0.653409091,3190,317994,71920165,20_1228-0103,122637145
27,西班牙,玩美女人 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,50,1,10560,688,144040,20_1228-0103,122637145
28,美國,愛情列車長,2020-10-08T00:00:00,天馬行空數位有限公司,TV Co.Srl,2,29,-0.532258065,2830,1441,262242,20_1228-0103,122637145
29,法國,森林特攻隊：大腳丫家族,2020-09-30T00:00:00,可樂藝術文創股份有限公司,Charades,2,72,-0.614973262,8120,25042,5137584,20_1228-0103,122637145
30,中華民國,同學麥娜絲,2020-11-20T00:00:00,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,41,2031,-0.544720915,471507,187850,43892454,20_1228-0103,122637145
31,西班牙,壞教慾 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,22,1,4740,686,146333,20_1228-0103,122637145
32,法國,退休大贏家,2020-09-04T00:00:00,海鵬影業有限公司,SOCIETE NOUVELLE DE DISTRIBUTION,1,24,-0.619047619,2160,4202,869000,20_1228-0103,122637145
33,美國,倒數反擊,2020-10-08T00:00:00,威視股份有限公司,"Honest Thief Productions, LLC",5,875,1,64585,200912,47106143,20_1228-0103,122637145
34,法國,寂寞調香師,2020-09-18T00:00:00,佳映娛樂國際股份有限公司,PYRAMIDE INTERNATIONAL,1,22,-0.755555556,1920,1624,303345,20_1228-0103,122637145
35,中華民國,海霧,2020-09-11T00:00:00,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,68,0.581395349,7580,50808,11367553,20_1228-0103,122637145
36,巴西,中央車站:數位修復版,2020-09-11T00:00:00,光年映畫有限公司,MACT Productions,1,48,1,5450,6749,1476480,20_1228-0103,122637145
37,日本,手塚治虫迷幻少女,2020-12-18T00:00:00,天馬行空數位有限公司,NIKKATSU CORPORATION,4,37,-0.81773399,7765,513,108930,20_1228-0103,122637145
38,日本,電影哆啦A夢：大雄的新恐龍,2020-09-25T00:00:00,車庫娛樂股份有限公司,"TOHO CO., LTD.",2,59,1.185185185,11750,158540,37208690,20_1228-0103,122637145
39,西班牙,悄悄告訴她 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,40,1,8640,847,180920,20_1228-0103,122637145
40,西班牙,破碎的擁抱 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,46,1,9375,549,113386,20_1228-0103,122637145
41,中華民國,無聲,2008-10-09T00:00:00,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,1,15,-0.970817121,3460,209779,49898035,20_1228-0103,122637145
42,法國,藥頭大媽,2020-10-16T00:00:00,原創娛樂股份有限公司,Le Pacte,2,89,-0.118811881,13630,2008,404808,20_1228-0103,122637145
43,中華民國,親愛的殺手,2020-12-04T00:00:00,威視股份有限公司,興揚電影有限公司##滿滿額娛樂股份有限公司##海寧鐵幕真文化傳媒有限公司##華映娛樂股份有限公司##十三月股份有限公司##浙江光芒文化傳媒有限公司##海寧夢生影視文化傳媒有限公司##上海牧神文化傳媒有限公司,13,412,-0.642361111,95749,26408,6135869,20_1228-0103,122637145
44,美國,阿公當家,2020-09-30T00:00:00,香港商甲上娛樂有限公司台灣分公司,"MARRO WWG,LLC",4,376,-0.213389121,24120,75520,17111731,20_1228-0103,122637145
45,韓國,無價之保,2020-10-08T00:00:00,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",7,587,1.668181818,48815,31036,7096737,20_1228-0103,122637145
46,巴西,殺戮荒村,2020-09-25T00:00:00,捷傑有限公司,SBS Distribution,1,36,0.8,5580,3756,864847,20_1228-0103,122637145
47,中華民國,十二夜2：回到第零天,2020-11-27T00:00:00,牽猴子整合行銷股份有限公司,縫影子宇宙有限公司##牽猴子整合行銷股份有限公司##貝殼放大股份有限公司,11,363,-0.601098901,85498,16114,3606164,20_1228-0103,122637145
48,日本,紫羅蘭永恆花園電影版,2020-09-30T00:00:00,采昌國際多媒體股份有限公司,"ABC Animation,INC.",1,66,0.434782609,16259,108818,27083538,20_1228-0103,122637145
49,美國,奪命守門人,2020-10-16T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,4,108,-0.548117155,10260,24230,5172160,20_1228-0103,122637145
50,美國,地下弒的秘密,2020-10-16T00:00:00,香港商甲上娛樂有限公司台灣分公司,"Accelerated Global Content, LLC",1,109,2.516129032,9490,1735,366744,20_1228-0103,122637145
