,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,刻在你心底的名字,2020-09-30T00:00:00,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,10,400,-0.8078770413064361,100261.0,412328,96900786.0,20_1228-0103,7840628.0
1,中華民國,親愛的房客,2020-10-23T00:00:00,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,21,1187,-0.4948936170212766,271399.0,160865,38193574.0,20_1228-0103,7840628.0
2,中華民國,急先鋒,2020-09-30T00:00:00,龍祥育樂多媒體股份有限公司,無錫市晶麗影院管理有限公司##深圳市浩志文化傳媒有限公司##霍爾果斯創維酷開文化傳媒有限公司##霍爾果斯禮想境界影視傳媒有限公司##中影(上海)影視文化投資管理中心(有限合夥)##文投控股股份有限公司##幸福藍海影視文化集團股份有限公司##北京明星時代影院投資有限公司##珠江電影集團有限公司##人民日報數字傳播有限公司##鼎盛創新資本有限公司##深圳廣電影視股份有限公司##騰訊影業文化傳播有限公司##中國電影股份有限公司##中影(上海)國際文化傳媒有限公司##上海禮想境界影視傳媒有限公司##上海影新影視有限公司##九江市逸興投資有限公司,1,20,-0.7802197802197802,2110.0,21959,4846741.0,20_1228-0103,7840628.0
3,中華民國,可不可以，你也剛好喜歡我 ,2020-08-21T00:00:00,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,5,437,-0.08958333333333333,35360.0,324524,75264685.0,20_1228-0103,7840628.0
4,中華民國,消失的情人節,2020-09-18T00:00:00,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,8,376,-0.4188562596599691,85355.0,137015,31904395.0,20_1228-0103,7840628.0
5,中華民國,怪胎,2020-08-05T00:00:00,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,3,112,-0.6014234875444839,9290.0,195349,45122061.0,20_1228-0103,7840628.0
6,中華民國,剪刀手愛德華,1991-04-25T00:00:00,聯影企業股份有限公司,PARK CIRCUS LIMITED,1,3,-0.5,620.0,1540,337920.0,20_1228-0103,7840628.0
7,中華民國,孤味 (長片版),2020-11-06T00:00:00,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,96,16547,-0.34730987693278637,3837622.0,794561,183687644.0,20_1228-0103,7840628.0
8,中華民國,腿,2020-12-24T00:00:00,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,62,11839,-0.21704913696184114,2752602.0,26098,6041904.0,20_1228-0103,7840628.0
9,中華民國,馗降：粽邪2,2020-09-02T00:00:00,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,2,61,-0.6534090909090909,3190.0,317994,71920165.0,20_1228-0103,7840628.0
