,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,美國,瑰麗卡萊爾：浮華紐約,2020-12-24T00:00:00,車庫娛樂股份有限公司,WTFILMS,3,9,-0.6538461538461539,1975.0,35,7770.0,20_1228-0103,94716742.0
1,美國,祕密：夢想的力量,2020-11-13T00:00:00,車庫娛樂股份有限公司,"CM SALES, LLC",1,31,-0.8509615384615384,6820.0,7281,1675122.0,20_1228-0103,94716742.0
2,美國,TENET天能,2020-08-27T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,1514,0.4628019323671498,112460.0,1385099,349560559.0,20_1228-0103,94716742.0
3,美國,愛情列車長,2020-10-08T00:00:00,天馬行空數位有限公司,TV Co.Srl,2,29,-0.532258064516129,2830.0,1441,262242.0,20_1228-0103,94716742.0
4,美國,倒數反擊,2020-10-08T00:00:00,威視股份有限公司,"Honest Thief Productions, LLC",5,875,1.0,64585.0,200912,47106143.0,20_1228-0103,94716742.0
5,美國,阿公當家,2020-09-30T00:00:00,香港商甲上娛樂有限公司台灣分公司,"MARRO WWG,LLC",4,376,-0.21338912133891214,24120.0,75520,17111731.0,20_1228-0103,94716742.0
6,美國,奪命守門人,2020-10-16T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,4,108,-0.5481171548117155,10260.0,24230,5172160.0,20_1228-0103,94716742.0
7,美國,地下弒的秘密,2020-10-16T00:00:00,香港商甲上娛樂有限公司台灣分公司,"Accelerated Global Content, LLC",1,109,2.5161290322580645,9490.0,1735,366744.0,20_1228-0103,94716742.0
8,美國,一家之煮,2020-12-24T00:00:00,車庫娛樂股份有限公司,"BLUE FOX ENTERTAINMENT 2, LLC",17,295,-0.2625,61980.0,695,150439.0,20_1228-0103,94716742.0
9,美國,入魔,2020-10-30T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,356,0.09202453987730061,29200.0,11286,2429683.0,20_1228-0103,94716742.0
10,美國,我的媽媽開GAYBAR   ,2020-11-13T00:00:00,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",2,100,2.3333333333333335,15720.0,1747,382433.0,20_1228-0103,94716742.0
11,美國,愛麗絲與夢幻島,2020-11-12T00:00:00,香港商甲上娛樂有限公司台灣分公司,"CAPSTONE GROUP , LLC",3,244,1.0,15460.0,21851,5051110.0,20_1228-0103,94716742.0
12,美國,靈魂急轉彎 (英文版),2020-12-25T00:00:00,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,178697,1.0737246437357844,42907723.0,264869,63564768.0,20_1228-0103,94716742.0
13,美國,求婚好意外,2020-12-11T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,1330,-0.6700570578020343,312028.0,25665,5950075.0,20_1228-0103,94716742.0
14,美國,古魯家族：新石代,2020-11-27T00:00:00,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,34,1260,-0.6363636363636364,284279.0,74537,16854504.0,20_1228-0103,94716742.0
15,美國,神力女超人1984 ,2020-12-17T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,180825,-0.44444785813258286,45871411.0,889907,226105230.0,20_1228-0103,94716742.0
16,美國,再見街貓BOB,2020-12-10T00:00:00,采昌國際多媒體股份有限公司,Bos Entertainment Inc. dba The Exchange,5,222,-0.7328519855595668,52565.0,10617,2524512.0,20_1228-0103,94716742.0
17,美國,魔物獵人,2020-12-04T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,92,19190,-0.32794004342649014,4441573.0,414011,98554740.0,20_1228-0103,94716742.0
18,美國,高校棋蹟,2020-12-18T00:00:00,捷傑有限公司,"Cinema Management Group, LLC",6,83,-0.8285123966942148,17815.0,1249,284929.0,20_1228-0103,94716742.0
