,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,9462854,0208-0214,
0,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",102,64646,0.609430627,15450400,104025,24913254,0215-0221,82808342
1,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",102,29037,-0.550830678,6902714,133062,31815968,0222-0228,37856093
2,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",97,15641,-0.461342425,3745414,148703,35561382,0301-0307,24890889
3,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",83,4892,-0.687232274,1156666,153595,36718048,0308-0314,10221300
4,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",55,1618,-0.669255928,383513,155213,37101561,0315-0321,5654914
5,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",29,506,-0.687268232,124246,155719,37225807,0322-0328,2922083
6,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",8,71,-0.859683794,16890,155790,37242697,0329-0404,1208601
7,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,9,-0.873239437,2046,155799,37244743,0405-0411,119969462
8,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",6,426,1,37080,156225,37281823,0426-0502,72551767
9,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",6,552,0.295774648,45630,156777,37327453,0503-0509,39337124
10,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",7,216,-0.608695652,18040,156993,37345493,0510-0516,10652302
11,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",5,14,-0.861386139,1085,157007,37346578,0517-0520,122069
12,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,20,1,1100,157027,37347678,0712-0725,721016
13,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,5,-0.444444444,275,157032,37347953,0726-0801,234724
14,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,15,2,1650,157047,37349603,0802-0808,136779
15,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,0,-1,0,157047,37349603,0809-0815,108490
