,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,94,-0.265625,19740,0,0,0426-0502,72551767
1,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,258,1.744680851,51600,0,0,0503-0509,39337124
2,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,21,1143,1,240491,1143,240491,0816-0822,297256
3,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,21,1618,0.415573053,359676,2761,600167,0823-0829,408947
4,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,19,234,-0.855377009,52030,2995,652197,0830-0905,495300
5,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,10,73,-0.688034188,14325,3068,666522,0906-0912,221212
6,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,5,38,-0.479452055,8580,3106,675102,0913-0919,164445
7,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,4,234,5.157894737,47020,3340,722122,0920-0926,437538
8,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,120,-0.487179487,23400,3460,745522,0927-1003,530421
9,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,133,1,23940,3593,769462,1011-1017,1487328
10,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,2,126,-0.052631579,25560,3719,795022,1018-1024,2549123
11,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,2,253,1.007936508,50600,3972,845622,1025-1031,2261993
12,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,2,217,1,48300,4189,893922,1108-1114,5729052
13,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,2,360,1,85430,4549,979352,1122-1128,7746814
14,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,175,1,33250,4724,1012602,1206-1212,66005448
15,中華民國,期末考,2021-06-04T00:00:00,海鵬影業有限公司,花千樹電影有限公司(A THOUSAND TREE FILMS)##高雄人##海鵬影業有限公司,1,133,1,23940,4857,1036542,22_0103-0109,10268653
