,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,36927057,0329-0404,
0,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,495486,2.138410672,118044044,651267,154971101,0405-0411,119969462
1,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,413710,-0.165041999,98899624,1064977,253870725,0412-0418,100610393
2,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,296559,-0.283171787,71174265,1361536,325044990,0419-0425,97148285
3,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,196139,-0.338617273,47130475,1557675,372175465,0426-0502,72551767
4,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,89796,-0.54218182,21433593,1647471,393609058,0503-0509,39337124
5,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,27173,-0.697391866,6496728,1674644,400105786,0510-0516,10652302
6,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",38,343,-0.962307692,80955,1674987,400186741,0517-0520,122069
7,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",40,1914,1,490514,1676901,400677255,0712-0725,721016
8,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",36,636,-0.138211382,160980,1677537,400838235,0726-0801,234724
9,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",23,327,-0.485849057,84174,1677864,400922409,0802-0808,136779
10,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",9,203,-0.379204893,52360,1678067,400974769,0809-0815,108490
11,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",4,86,-0.57635468,21765,1678153,400996534,0816-0822,297256
