,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
,,,,,,,,,,,0,w0,
,,,,,,,,,,,23967974,0201-0207,
0,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",100,213254,1.082843357,50598784,314972,74566758,0208-0214,66230729
1,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",99,196930,-0.076547216,46869416,511902,121436174,0215-0221,82808342
2,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",99,89458,-0.545737064,21102468,601360,142538642,0222-0228,37856093
3,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",94,47313,-0.471114937,11130292,648673,153668934,0301-0307,24890889
4,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",90,19108,-0.596136368,4451596,667781,158120530,0308-0314,10221300
5,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",86,9523,-0.501622357,2226372,677304,160346902,0315-0321,5654914
6,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",80,3511,-0.631313662,820390,680815,161167292,0322-0328,2922083
7,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",59,1381,-0.606664768,319362,682196,161486654,0329-0404,1208601
8,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",15,273,-0.802317161,60851,682469,161547505,0405-0411,119969462
9,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",7,77,-0.717948718,17330,682546,161564835,0412-0418,100610393
10,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",5,191,1,12430,682737,161577265,0510-0516,10652302
11,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",3,48,-0.748691099,3095,682785,161580360,0517-0520,122069
12,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,85,1,6253,682870,161586613,0712-0725,721016
13,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,25,-0.404761905,2342,682895,161588955,0726-0801,234724
14,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,8,-0.68,910,682903,161589865,0802-0808,136779
15,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,60,6.5,5800,682963,161595665,0809-0815,108490
16,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,49,-0.183333333,4170,683012,161599835,0816-0822,297256
17,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,10,1,1600,683022,161601435,0927-1003,530421
18,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,19,0.9,2820,683041,161604255,1004-1010,615938
19,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,15,-0.210526316,2320,683056,161606575,1011-1017,1487328
20,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,5,-0.666666667,700,683061,161607275,1018-1024,2549123
21,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,6,0.2,660,683067,161607935,1025-1031,2261993
